GT CT,MV CT,MV BO,MV ME,MV ONOI,MV BANOI,MV ONGOAI,MV BANGOAI,BWBANGOAI,BWBO,BWME,BWONOI,BWBANOI,BWONGOAI,BW CT
1,2,2,2,1,1,1,1,386,324,321,352,316,274,503
1,2,2,2,1,1,1,1,386,343,321,437,316,253,474
1,2,2,2,1,1,1,1,386,340,321,345,316,276,450
1,2,2,2,1,1,1,1,386,343,321,437,316,253,352
1,2,2,2,1,1,1,1,386,340,321,345,316,276,399
1,2,2,2,1,1,1,1,386,340,321,345,316,276,484
1,2,2,2,1,1,1,1,386,412,321,318,316,300,447
2,2,2,2,1,1,1,1,386,333,321,314,316,387,397
2,2,2,2,1,1,1,1,386,412,321,318,316,300,371
2,2,2,2,1,1,1,1,386,412,321,318,316,300,404
2,2,2,2,1,1,1,1,386,363,321,265,316,271,374
2,2,2,2,1,1,1,1,386,343,321,437,316,253,372
2,2,2,2,1,1,1,1,386,343,321,437,316,253,357
2,2,2,2,1,1,1,1,386,333,321,314,316,387,419
2,2,2,2,1,1,1,1,386,343,321,437,316,253,405
1,2,2,2,1,1,1,1,446,370,321,344,305,275,403
1,2,2,2,1,1,1,1,446,299,321,371,305,251,374
1,2,2,2,1,1,1,1,446,349,321,437,305,301,423
2,2,2,2,1,1,1,1,446,374,321,309,305,250,373
1,2,2,2,1,1,1,1,446,370,321,344,305,275,369
1,2,2,2,1,1,1,1,446,370,321,344,305,275,422
2,2,2,2,1,1,1,1,446,374,321,309,305,250,355
2,2,2,2,1,1,1,1,446,349,321,437,305,301,451
2,2,2,2,1,1,1,1,446,370,321,344,305,275,418
2,2,2,2,1,1,1,1,446,370,321,344,305,275,351
2,2,2,2,1,1,1,1,446,349,321,437,305,301,437
2,2,2,2,1,1,1,1,446,374,321,309,305,250,393
2,2,2,2,1,1,1,1,446,370,321,344,305,275,366
2,2,2,2,1,1,1,1,446,374,321,309,305,250,408
2,2,2,2,1,1,1,1,446,370,321,344,305,275,430
1,2,2,2,1,1,1,1,425,348,321,345,351,234,453
1,2,2,2,1,1,1,1,425,348,321,345,351,234,478
1,2,2,2,1,1,1,1,425,350,321,344,351,301,363
1,2,2,2,1,1,1,1,425,368,321,383,351,240,437
1,2,2,2,1,1,1,1,425,368,321,383,351,240,456
1,2,2,2,1,1,1,1,425,348,321,345,351,234,478
1,2,2,2,1,1,1,1,425,368,321,383,351,240,455
1,2,2,2,1,1,1,1,425,352,321,318,351,291,453
1,2,2,2,1,1,1,1,425,348,321,345,351,234,421
1,2,2,2,1,1,1,1,425,315,321,309,351,330,440
1,2,2,2,1,1,1,1,425,368,321,383,351,240,411
1,2,2,2,1,1,1,1,425,315,321,309,351,330,465
1,2,2,2,1,1,1,1,425,352,321,318,351,291,410
1,2,2,2,1,1,1,1,425,348,321,345,351,234,417
1,2,2,2,1,1,1,1,425,352,321,318,351,291,409
1,2,2,2,1,1,1,1,425,352,321,318,351,291,468
1,2,2,2,1,1,1,1,425,348,321,345,351,234,416
2,2,2,2,1,1,1,1,425,350,321,344,351,301,383
2,2,2,2,1,1,1,1,425,338,321,314,351,293,365
2,2,2,2,1,1,1,1,425,348,321,345,351,234,415
2,2,2,2,1,1,1,1,425,315,321,309,351,330,380
2,2,2,2,1,1,1,1,425,338,321,314,351,293,407
2,2,2,2,1,1,1,1,425,368,321,383,351,240,438
2,2,2,2,1,1,1,1,425,315,321,309,351,330,399
2,2,2,2,1,1,1,1,425,348,321,345,351,234,438
2,2,2,2,1,1,1,1,425,352,321,318,351,291,401
2,2,2,2,1,1,1,1,425,386,321,382,351,353,377
2,2,2,2,1,1,1,1,425,386,321,382,351,353,432
2,2,2,2,1,1,1,1,425,348,321,345,351,234,422
2,2,2,2,1,1,1,1,425,368,321,383,351,240,364
2,2,2,2,1,1,1,1,425,352,321,318,351,291,438
2,2,2,2,1,1,1,1,425,368,321,383,351,240,459
2,2,2,2,1,1,1,1,425,368,321,383,351,240,398
2,2,2,2,1,1,1,1,425,352,321,318,351,291,428
2,2,2,2,1,1,1,1,425,338,321,314,351,293,399
2,2,2,2,1,1,1,1,425,368,321,383,351,240,403
2,2,2,2,1,1,1,1,425,352,321,318,351,291,378
2,2,2,2,1,1,1,1,425,352,321,318,351,291,418
2,2,2,2,1,1,1,1,425,368,321,383,351,240,363
2,2,2,2,1,1,1,1,425,350,321,344,351,301,366
2,2,2,2,1,1,1,1,425,352,321,318,351,291,392
2,2,2,2,1,1,1,1,425,352,321,318,351,291,412
2,2,2,2,1,1,1,1,425,315,321,309,351,330,375
2,2,2,2,1,1,1,1,425,368,321,383,351,240,403
1,2,2,2,1,1,1,1,437,354,339,382,307,353,464
1,2,2,2,1,1,1,1,437,324,339,303,307,272,405
1,2,2,2,1,1,1,1,437,318,339,345,307,265,483
1,2,2,2,1,1,1,1,437,355,339,309,307,312,378
1,2,2,2,1,1,1,1,437,320,339,330,307,254,426
1,2,2,2,1,1,1,1,437,289,339,265,307,293,416
1,2,2,2,1,1,1,1,437,289,339,265,307,293,383
1,2,2,2,1,1,1,1,437,318,339,345,307,265,368
1,2,2,2,1,1,1,1,437,324,339,303,307,272,409
2,2,2,2,1,1,1,1,437,320,339,330,307,254,354
2,2,2,2,1,1,1,1,437,355,339,309,307,312,367
2,2,2,2,1,1,1,1,437,324,339,303,307,272,362
2,2,2,2,1,1,1,1,437,401,339,344,307,301,405
2,2,2,2,1,1,1,1,437,324,339,303,307,272,455
2,2,2,2,1,1,1,1,437,289,339,265,307,293,387
2,2,2,2,1,1,1,1,437,385,339,371,307,269,372
2,2,2,2,1,1,1,1,437,289,339,265,307,293,412
2,2,2,2,1,1,1,1,437,318,339,345,307,265,431
2,2,2,2,1,1,1,1,437,324,339,303,307,272,377
2,2,2,2,1,1,1,1,437,289,339,265,307,293,406
2,2,2,2,1,1,1,1,437,401,339,344,307,301,411
2,2,2,2,1,1,1,1,437,401,339,344,307,301,388
2,2,2,2,1,1,1,1,437,401,339,344,307,301,409
2,2,2,2,1,1,1,1,437,385,339,371,307,269,386
2,2,2,2,1,1,1,1,437,324,339,303,307,272,438
2,2,2,2,1,1,1,1,437,318,339,345,307,265,407
1,2,2,2,1,1,1,1,325,293,265,344,270,301,394
1,2,2,2,1,1,1,1,325,380,265,314,270,276,415
1,2,2,2,1,1,1,1,325,368,265,403,270,258,420
1,2,2,2,1,1,1,1,325,352,265,330,270,320,447
1,2,2,2,1,1,1,1,325,380,265,314,270,276,372
1,2,2,2,1,1,1,1,325,355,265,318,270,300,415
1,2,2,2,1,1,1,1,325,323,265,303,270,249,404
1,2,2,2,1,1,1,1,325,380,265,314,270,276,359
1,2,2,2,1,1,1,1,325,323,265,303,270,249,415
1,2,2,2,1,1,1,1,325,352,265,330,270,320,394
1,2,2,2,1,1,1,1,325,323,265,303,270,249,349
1,2,2,2,1,1,1,1,325,355,265,318,270,300,439
1,2,2,2,1,1,1,1,325,415,265,371,270,303,425
1,2,2,2,1,1,1,1,325,355,265,318,270,300,431
2,2,2,2,1,1,1,1,325,355,265,318,270,300,411
2,2,2,2,1,1,1,1,325,355,265,383,270,234,348
2,2,2,2,1,1,1,1,325,384,265,309,270,312,449
2,2,2,2,1,1,1,1,325,415,265,371,270,303,473
2,2,2,2,1,1,1,1,325,384,265,309,270,312,422
2,2,2,2,1,1,1,1,325,384,265,309,270,312,400
2,2,2,2,1,1,1,1,325,323,265,382,270,266,375
2,2,2,2,1,1,1,1,325,351,265,352,270,333,369
2,2,2,2,1,1,1,1,325,323,265,303,270,249,349
2,2,2,2,1,1,1,1,325,384,265,309,270,312,405
2,2,2,2,1,1,1,1,325,352,265,330,270,320,359
1,2,2,2,1,1,1,1,325,415,265,371,270,303,413
2,2,2,2,1,1,1,1,325,339,265,345,270,276,388
1,2,2,2,1,1,1,1,325,355,265,318,270,300,433
2,2,2,2,1,1,1,1,325,352,265,330,270,320,402
2,2,2,2,1,1,1,1,325,355,265,318,270,300,445
2,2,2,2,1,1,1,1,325,380,265,314,270,276,374
1,2,2,2,1,1,1,1,325,368,265,403,270,258,405
1,2,2,2,1,1,1,1,325,415,265,371,270,303,464
2,2,2,2,1,1,1,1,325,368,265,403,270,258,443
2,2,2,2,1,1,1,1,325,368,265,403,270,258,424
2,2,2,2,1,1,1,1,325,351,265,352,270,333,413
2,2,2,2,1,1,1,1,325,351,265,352,270,333,360
2,2,2,2,1,1,1,1,325,355,265,383,270,234,397
2,2,2,2,1,1,1,1,325,352,265,330,270,320,403
