ID CT,ID BO,ID ME,ID ONG NOI,ID BA NOI,ID ONG NGOAI,ID BA NGOAI,SL BA NGOAI,SL ONG NGOAI,SL BA NOI,SL ONG NOI,SL ME,SL BO,SL CT
21333011003,21222020068,21222391002,21111020016,21111511150,21111400103,21111241049,0,3,0,0,0,0,0
21333011013,21222020068,21222161004,21111020016,21111511150,21111120158,21111131155,0,4,0,0,0,0,0
21333011015,21222020068,21222161004,21111020016,21111511150,21111120158,21111131155,0,4,0,0,0,0,0
21333011021,21222020068,21222461025,21111020016,21111511150,21111490013,21111011028,1,4,0,0,3,0,0
21333011027,21222020068,21222251015,21111020016,21111511150,21111260024,21111491068,0,5,0,0,1,0,0
21333011030,21222020068,21222251015,21111020016,21111511150,21111260024,21111491068,0,5,0,0,1,0,0
21333011044,21222020068,21222391002,21111020016,21111511150,21111400103,21111241049,0,3,0,0,0,0,0
21333011050,21222020068,21222251015,21111020016,21111511150,21111260024,21111491068,0,5,0,0,1,0,0
21333020029,21222020044,21222341047,21111020016,21111181035,21111350135,21111121142,0,2,0,0,0,0,0
21333021005,21222020044,21222341047,21111020016,21111181035,21111350135,21111121142,0,2,0,0,0,0,0
21333021013,21222020044,21222251012,21111020016,21111181035,21111260024,21111091046,0,5,0,0,0,0,0
21333021014,21222020044,21222501005,21111020016,21111181035,21111510127,21111071041,4,3,0,0,0,0,0
21333021041,21222020044,21222501005,21111020016,21111181035,21111510127,21111071041,4,3,0,0,0,0,0
21333021042,21222020044,21222251012,21111020016,21111181035,21111260024,21111091046,0,5,0,0,0,0,0
21333021044,21222020044,21222341047,21111020016,21111181035,21111350135,21111121142,0,2,0,0,0,0,0
21333021049,21222020044,21222501005,21111020016,21111181035,21111510127,21111071041,4,3,0,0,0,0,0
21333021079,21222020044,21222341047,21111020016,21111181035,21111350135,21111121142,0,2,0,0,0,0,0
21333021080,21222020044,21222501005,21111020016,21111181035,21111510127,21111071041,4,3,0,0,0,0,0
21333031002,21222020007,21222501048,21111020016,21111231012,21111510127,21111181047,0,3,0,0,0,0,0
21333031012,21222020007,21222391033,21111020016,21111231012,21111400103,21111031036,0,3,0,0,1,0,0
21333031013,21222020007,21222051006,21111020016,21111231012,21111030033,21111221108,7,3,0,0,0,0,0
21333031016,21222020007,21222391033,21111020016,21111231012,21111400103,21111031036,0,3,0,0,1,0,0
21333031020,21222020007,21222081052,21111020016,21111231012,21111050070,21111311155,0,5,0,0,0,0,0
21333031022,21222020007,21222341015,21111020016,21111231012,21111350135,21111251014,2,2,0,0,0,0,0
21333031025,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031031,21222020007,21222201043,21111020016,21111231012,21111230081,21111351042,0,0,0,0,0,0,0
21333031032,21222020007,21222051006,21111020016,21111231012,21111030033,21111221108,7,3,0,0,0,0,0
21333031034,21222020007,21222081052,21111020016,21111231012,21111050070,21111311155,0,5,0,0,0,0,0
21333031035,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031040,21222020007,21222081052,21111020016,21111231012,21111050070,21111311155,0,5,0,0,0,0,0
21333031043,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031048,21222020007,21222391033,21111020016,21111231012,21111400103,21111031036,0,3,0,0,1,0,0
21333031053,21222020007,21222081052,21111020016,21111231012,21111050070,21111311155,0,5,0,0,0,0,0
21333031054,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031060,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031062,21222020007,21222081052,21111020016,21111231012,21111050070,21111311155,0,5,0,0,0,0,0
21333031063,21222020007,21222501048,21111020016,21111231012,21111510127,21111181047,0,3,0,0,0,0,0
21333031068,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031069,21222020007,21222161044,21111020016,21111231012,21111120158,21111351059,0,4,0,0,0,0,0
21333031080,21222020007,21222081052,21111020016,21111231012,21111050070,21111311155,0,5,0,0,0,0,0
21333041005,21222030075,21222421065,21111020046,21111321025,21111450089,21111021077,0,3,0,0,0,0,0
21333041008,21222030075,21222341007,21111020046,21111321025,21111350135,21111071146,5,2,0,0,0,0,0
21333041013,21222030075,21222451058,21111020046,21111321025,21111490049,21111231135,0,4,0,0,0,0,0
21333041017,21222030075,21222501011,21111020046,21111321025,21111510127,21111181047,0,3,0,0,0,0,0
21333041018,21222030075,21222451058,21111020046,21111321025,21111490049,21111231135,0,4,0,0,0,0,0
21333041026,21222030075,21222461060,21111020046,21111321025,21111490013,21111321105,0,4,0,0,0,0,0
21333041038,21222030075,21222451058,21111020046,21111321025,21111490049,21111231135,0,4,0,0,0,0,0
21333041041,21222030075,21222461060,21111020046,21111321025,21111490013,21111321105,0,4,0,0,0,0,0
21333041067,21222030075,21222501011,21111020046,21111321025,21111510127,21111181047,0,3,0,0,0,0,0
21333041068,21222030075,21222501011,21111020046,21111321025,21111510127,21111181047,0,3,0,0,0,0,0
21333041069,21222030075,21222501011,21111020046,21111321025,21111510127,21111181047,0,3,0,0,0,0,0
21333041071,21222030075,21222281027,21111020046,21111321025,21111310019,21111401028,0,1,0,0,0,0,0
21333041072,21222030075,21222451058,21111020046,21111321025,21111490049,21111231135,0,4,0,0,0,0,0
21333041074,21222030075,21222051050,21111020046,21111321025,21111030033,21111351160,0,3,0,0,0,0,0
21333051002,21222040017,21222161032,21111020115,21111171155,21111120158,21111131155,0,4,0,0,0,0,0
21333051007,21222040017,21222341008,21111020115,21111171155,21111350135,21111071146,5,2,0,0,5,0,0
21333051008,21222040017,21222281033,21111020115,21111171155,21111310019,21111151161,0,1,0,0,0,0,0
21333051014,21222040017,21222341008,21111020115,21111171155,21111350135,21111071146,5,2,0,0,5,0,0
21333051015,21222040017,21222341008,21111020115,21111171155,21111350135,21111071146,5,2,0,0,5,0,1
21333051017,21222040017,21222201019,21111020115,21111171155,21111230081,21111411027,0,0,0,0,0,0,0
21333051021,21222040017,21222101003,21111020115,21111171155,21111080034,21111051162,0,1,0,0,0,0,0
21333051030,21222040017,21222451014,21111020115,21111171155,21111490049,21111441138,3,4,0,0,6,0,0
21333051032,21222040017,21222341008,21111020115,21111171155,21111350135,21111071146,5,2,0,0,5,0,0
21333051035,21222040017,21222421063,21111020115,21111171155,21111450089,21111451044,1,3,0,0,0,0,0
21333051047,21222040017,21222421063,21111020115,21111171155,21111450089,21111451044,1,3,0,0,0,0,0
21333051048,21222040017,21222161032,21111020115,21111171155,21111120158,21111131155,0,4,0,0,0,0,0
21333051049,21222040017,21222391029,21111020115,21111171155,21111400103,21111121041,0,3,0,0,0,0,0
21333051062,21222040017,21222241011,21111020115,21111171155,21111250114,21111131052,0,2,0,0,0,0,0
21333051077,21222040017,21222081004,21111020115,21111171155,21111050070,21111261070,0,5,0,0,1,0,0
21333051080,21222040017,21222341008,21111020115,21111171155,21111350135,21111071146,5,2,0,0,5,0,0
21333051083,21222040017,21222341008,21111020115,21111171155,21111350135,21111071146,5,2,0,0,5,0,0
21333051087,21222040017,21222421063,21111020115,21111171155,21111450089,21111451044,1,3,0,0,0,0,0
21333060080,21222040024,21222101008,21111020115,21111361028,21111080034,21111051162,0,1,2,0,0,0,0
21333061003,21222040024,21222281014,21111020115,21111361028,21111310019,21111341063,4,1,2,0,0,0,0
21333061008,21222040024,21222081007,21111020115,21111361028,21111050070,21111221088,0,5,2,0,0,0,0
21333061009,21222040024,21222081007,21111020115,21111361028,21111050070,21111221088,0,5,2,0,0,0,0
21333061010,21222040024,21222391009,21111020115,21111361028,21111400103,21111191093,0,3,2,0,0,0,0
21333061034,21222040024,21222081007,21111020115,21111361028,21111050070,21111221088,0,5,2,0,0,0,0
21333061040,21222040024,21222391009,21111020115,21111361028,21111400103,21111191093,0,3,2,0,0,0,0
21333061043,21222040024,21222081007,21111020115,21111361028,21111050070,21111221088,0,5,2,0,0,0,0
21333061045,21222040024,21222081007,21111020115,21111361028,21111050070,21111221088,0,5,2,0,0,0,0
21333061059,21222040024,21222391009,21111020115,21111361028,21111400103,21111191093,0,3,2,0,0,0,0
21333061063,21222040024,21222391009,21111020115,21111361028,21111400103,21111191093,0,3,2,0,0,0,0
21333061064,21222040024,21222081007,21111020115,21111361028,21111050070,21111221088,0,5,2,0,0,0,0
21333071010,21222130048,21222081015,21111110082,21111501136,21111050070,21111261070,0,5,2,3,6,3,0
21333071015,21222130048,21222051008,21111110082,21111501136,21111030033,21111261111,0,3,2,3,0,3,0
21333071023,21222130048,21222391055,21111110082,21111501136,21111400103,21111121041,0,3,2,3,0,3,0
21333071032,21222130048,21222451077,21111110082,21111501136,21111490049,21111071074,0,4,2,3,0,3,0
21333071037,21222130048,21222051008,21111110082,21111501136,21111030033,21111261111,0,3,2,3,0,3,0
21333071040,21222130048,21222101044,21111110082,21111501136,21111080034,21111311130,0,1,2,3,0,3,0
21333071041,21222130048,21222081015,21111110082,21111501136,21111050070,21111261070,0,5,2,3,6,3,0
21333071042,21222130048,21222451077,21111110082,21111501136,21111490049,21111071074,0,4,2,3,0,3,0
21333071075,21222130048,21222051008,21111110082,21111501136,21111030033,21111261111,0,3,2,3,0,3,0
21333071106,21222130048,21222241036,21111110082,21111501136,21111250114,21111251094,0,2,2,3,0,3,0
21333071109,21222130048,21222241036,21111110082,21111501136,21111250114,21111251094,0,2,2,3,0,3,0
21333080046,21222150039,21222101053,21111120103,21111221013,21111080034,21111511046,0,1,4,3,0,0,0
21333081004,21222150039,21222391006,21111120103,21111221013,21111400103,21111241049,0,3,4,3,1,0,1
21333081005,21222150039,21222421060,21111120103,21111221013,21111450089,21111071084,7,3,4,3,3,0,3
21333081012,21222150039,21222241003,21111120103,21111221013,21111250114,21111091053,0,2,4,3,0,0,0
21333081017,21222150039,21222101053,21111120103,21111221013,21111080034,21111511046,0,1,4,3,0,0,0
21333081019,21222150039,21222261028,21111120103,21111221013,21111290059,21111401092,6,3,4,3,0,0,0
21333081021,21222150039,21222261028,21111120103,21111221013,21111290059,21111401092,6,3,4,3,0,0,0
21333081022,21222150039,21222101053,21111120103,21111221013,21111080034,21111511046,0,1,4,3,0,0,0
21333081026,21222150039,21222491040,21111120103,21111221013,21111510004,21111231048,0,3,4,3,0,0,0
21333081030,21222150039,21222451016,21111120103,21111221013,21111490049,21111071074,0,4,4,3,0,0,0
21333081033,21222150039,21222421060,21111120103,21111221013,21111450089,21111071084,7,3,4,3,3,0,1
