TIME,ID CON,ID MẸ,ID BỐ ,GT,GĐ,"SỐ LIỆU
BỐ","SỐ LIỆU
MẸ","SỐ LIỆU
CON"
36W,22222011051.0,22111441071.0,22111030027.0,1.0,1,4.6,7.0,
36W,22222011056.0,22111511104.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011002.0,22111511104.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011048.0,22111511104.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011070.0,22111511104.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011077.0,22111511104.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011037.0,22111441071.0,22111030027.0,1.0,1,4.6,7.0,
36W,22222011001.0,22111441071.0,22111030027.0,1.0,1,4.6,7.0,
36W,22222011047.0,22111311072.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011028.0,22111311072.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011005.0,22111311072.0,22111030027.0,1.0,1,4.6,4.0,
36W,22222011054.0,22111201038.0,22111030027.0,1.0,1,4.6,5.0,
36W,22222011024.0,22111201038.0,22111030027.0,1.0,1,4.6,5.0,
36W,22222021049.0,22111511076.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222021055.0,22111261066.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222021004.0,22111261066.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222021021.0,22111261066.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222021053.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021027.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021058.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021050.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021041.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021043.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021018.0,22111071037.0,22111030047.0,1.0,1,4.6,,
36W,22222021059.0,22111201006.0,22111030047.0,1.0,1,4.6,1.0,
36W,22222021029.0,22111101126.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222021001.0,22111101126.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222021034.0,22111101126.0,22111030047.0,1.0,1,4.6,5.0,
36W,22222031014.0,22111441052.0,22111030048.0,1.0,1,4.6,3.0,
36W,22222031021.0,22111441052.0,22111030048.0,1.0,1,4.6,3.0,
36W,22222031054.0,22111071029.0,22111030048.0,1.0,1,4.6,5.0,
36W,22222031062.0,22111071029.0,22111030048.0,1.0,1,4.6,5.0,
36W,22222031057.0,22111071029.0,22111030048.0,1.0,1,4.6,5.0,
36W,22222031049.0,22111071029.0,22111030048.0,1.0,1,4.6,5.0,
36W,22222031026.0,22111201005.0,22111030048.0,1.0,1,4.6,5.0,
36W,22222031008.0,22111201005.0,22111030048.0,1.0,1,4.6,5.0,
